mf,order,rmse_mean,mae_mean,r2_mean,ndei_mean,rmse_std,mae_std,r2_std,ndei_std,n_rules,active_rules,dead_rules,effective_rules,firing_entropy,mean_max_activation,n_params,seconds,rmse_reduction_vs_linear,rmse_reduction_vs_mlp,pvalue_vs_linear,pvalue_vs_mlp,significant_vs_linear_bh
dsig,0,0.0746572152852021,0.059232088423195,0.8898304830123767,0.3317070933638396,0.005173985396474,0.0027784606338588,0.0078639999737869,0.0118288291785917,4,4.0,0.0,3.7143901076514334,1.3112677574157714,0.9091445446014405,68,0.9907605648040771,0.2254266052331858,-14.074988631920853,0.0008423648705191,0.9999930469136766,True
dsig,1,0.0154834107639872,0.0123129655702025,0.9951777566211394,0.0690648632481064,0.00129122136908,0.0010342715181083,0.0009820420753377,0.0072310471842552,4,4.0,0.0,3.444322530949139,1.2352634429931642,0.9361588478088378,84,1.0883893966674805,0.8393586207010886,-2.1264525519576094,1.483395457964135e-07,0.9999433626009782,True
dsig,0,0.0400305239508845,0.0323879891371576,0.968224162874986,0.1781084416443376,0.0019925940322679,0.0017491229570084,0.0026284474504361,0.0072952135019962,8,8.0,0.0,7.415432442506924,2.002763080596924,0.8505833983421326,136,1.1354186534881592,0.5846807477015984,-7.083072629806928,7.719733563059382e-07,0.9999986725670076,True
dsig,1,0.0065423968462034,0.0051523316002943,0.9991358115369792,0.0292169883066194,0.0004868538415815,0.0003284241418689,0.0001944881040328,0.0032490086660057,8,8.0,0.0,7.257155901885163,1.981787610054016,0.8806497931480408,168,1.3179268836975098,0.932122213295572,-0.3210586238083406,2.0418825834239429e-07,0.9884084065564888,True
dsig,0,0.0281746657300491,0.0221814016493146,0.9839524095538316,0.1258596722015737,0.0020189159458964,0.0017621424434836,0.0038871816173046,0.0143851784653824,16,16.0,0.0,14.484336165105134,2.672594690322876,0.8177939653396606,272,1.6604845523834229,0.7076860368073489,-4.689105386078443,1.7079509657383617e-06,0.9999806998807262,True
dsig,1,0.0048932989515822,0.0036181789658546,0.9995225202464166,0.0218057223333628,0.0002066324909272,0.0002013058932957,6.354982017229736e-05,0.0014107540904683,16,16.0,0.0,14.674467387860728,2.685930871963501,0.8601687788963318,336,1.8364481925964355,0.949231709673918,0.0119317230639607,1.620773105544799e-07,0.4628963931084429,True
dsig,0,0.0261916749843158,0.0196047541230815,0.9860137943651583,0.1170865268298316,0.0028158616617985,0.001933133016252,0.0039020115400972,0.0166418409368904,24,24.0,0.0,21.32380513276887,3.0596437454223637,0.8050228714942932,408,2.544003963470459,0.7282596929214453,-4.288694483596537,5.785703498386882e-06,0.9999728111954772,True
dsig,1,0.004577120820209,0.0034008504617816,0.9995729106532693,0.0204599925670533,0.0004794421497433,0.0003459693412718,0.0001249111913727,0.002911709272383,24,24.0,0.0,21.71904570620533,3.077567195892334,0.8842246770858765,504,2.566887378692627,0.952512078056708,0.0757752741246837,2.4573891770668643e-07,0.2748503350255737,True
dsig,0,0.0227318264850602,0.0177173525024503,0.98970988620584,0.1012934073714878,0.0005949904952243,0.0004494922043413,0.0011262575706393,0.0054552192654382,32,32.0,0.0,27.55708028824385,3.3157865047454838,0.8126311302185059,544,3.089411497116089,0.7641558429078815,-3.590072433534826,6.569973835983377e-07,0.9999929437621488,True
dsig,1,0.0040226086447799,0.0029626713020642,0.999676870248274,0.0178955369802574,0.0004111101826481,0.0002679192572853,6.302891987984896e-05,0.0016969112865228,32,32.0,0.0,27.851298502294675,3.3264062881469725,0.862869119644165,672,3.6005141735076904,0.9582651774258836,0.1877438857173198,2.477130315994169e-07,0.0979943763603362,True
dsig,0,0.0235772193097024,0.0173575856607834,0.9886241729923622,0.105305168387759,0.0033209370531878,0.0020057177488821,0.0033938570158438,0.0169306975185176,48,48.0,0.0,39.16400696785772,3.667301940917969,0.8201026082038879,816,4.187258005142212,0.7553848381551178,-3.760776459559685,8.519866431195015e-06,0.9998982177250164,True
dsig,1,0.0047802265093467,0.003356617021971,0.9995344683041932,0.0213678464708483,0.0005004454174766,0.0002153257289707,0.0001304310620323,0.0029911257086417,48,48.0,0.0,40.64185498879246,3.704744052886963,0.8790152311325073,1008,3.4247231483459477,0.9504048435110478,0.0347636191475828,2.330738766634106e-07,0.3334986864429674,True
dsig,0,0.0245587219163084,0.0187995357607407,0.9873623423135424,0.1093280949882252,0.0057853617100121,0.0053312691049588,0.0067371250309699,0.0261729886085511,64,64.0,0.0,52.38917991651772,3.9574231147766112,0.8170351624488831,1088,4.721862077713013,0.7452016856886483,-3.958964144169428,1.2899461456307735e-05,0.9993803689892148,True
dsig,1,0.0051125564887949,0.0035083567151993,0.999454766821276,0.0228254507027969,0.0010424598410717,0.0005335205510625,0.0002361686565215,0.0049225987992257,64,64.0,0.0,53.199954250676896,3.973772954940796,0.8838076591491699,1344,2.2697739601135254,0.9469568986690028,-0.0323413571509703,5.678795446297214e-07,0.5753939898631355,True
dsig,0,0.0259631630432742,0.020509929193557,0.9865781577698464,0.1154463752147415,0.0024785751734538,0.0021418152206188,0.0022763369122364,0.0096941569994902,128,122.4,5.6,88.98161757812022,4.487883472442627,0.872344720363617,2176,7.27526593208313,0.7306305189593734,-4.242552728907446,8.5594896493871e-07,0.9999762162847508,True
dsig,1,0.0095041553075099,0.0051923738380757,0.9981329236224082,0.0424392299379421,0.0016435430556925,0.0007681499871314,0.0006853172357048,0.008123308431061,128,122.6,5.4,90.01960670252932,4.499713897705078,0.8995099186897277,2688,5.83283281326294,0.9013937793848013,-0.919104974239798,8.483207869512092e-07,0.9919820381425288,True
dsig,0,0.023575227343719,0.0178369024999819,0.988981010862729,0.1049193837167073,0.0008729078993388,0.000608502912397,0.0006885026362349,0.0033033403967969,256,211.0,45.0,131.3350430111897,4.877302455902099,0.8825193643569946,4352,12.359750986099243,0.7554055049298981,-3.760374236352721,8.445577603369952e-07,0.9999962418055386,True
dsig,1,0.0269528460240294,0.0123954139371266,0.9848972633874924,0.1194045341348484,0.0068288858352199,0.0018723445974143,0.0071653706973127,0.0290739374792517,256,210.2,45.8,130.80755757636746,4.872444152832031,0.9063716053962708,5376,22.343165159225464,0.7203624945866722,-4.442392216987663,1.256014776151749e-05,0.9989025337433988,True
gaussian,0,0.060700380179654,0.0477054192062648,0.9262181760601348,0.2691444561777801,0.0097596872373442,0.0067437460241643,0.0200355818837507,0.0366481329487896,4,4.0,0.0,3.695854200800561,1.306520199775696,0.8480681657791138,36,0.8337669372558594,0.3702296642088902,-11.256786402572043,0.0011067161992544,0.9998184972661794,True
gaussian,1,0.0141475084592441,0.0109449267593293,0.996015639854749,0.0628638596378684,0.0015345400001723,0.0011054121473279,0.0007334193089519,0.0057004646022427,4,4.0,0.0,3.637920895486893,1.290879988670349,0.8690165519714356,52,0.9069650173187256,0.8532186927558629,-1.856703513228712,7.915307297746128e-07,0.9993705071518294,True
gaussian,0,0.0267808410534279,0.0208878230797107,0.9857118837046486,0.1193086296158899,0.0012230253979593,0.0015257228298015,0.0017230359204684,0.0073189613012853,8,8.0,0.0,7.340765511532682,1.992606019973755,0.7662417769432068,72,0.9825875759124756,0.722147057183691,-4.407660503963737,7.97955286501272e-08,0.999992683063616,True
gaussian,1,0.0050012794312952,0.0038932487440727,0.999490991135894,0.0223467053955428,0.0005475500085912,0.0004610955477848,0.0001335183204452,0.0031038076729837,8,8.0,0.0,7.302975453149552,1.988211178779602,0.801122784614563,104,1.06603741645813,0.9481114052743984,-0.0098719900523815,2.3662906514839643e-07,0.5419927093812986,True
gaussian,0,0.0145047153835421,0.0110496120453324,0.9957649956902048,0.0647442772113056,0.0009546975040036,0.0011762920727666,0.0008786283727869,0.0065713680600543,16,16.0,0.0,14.216196440350458,2.653625822067261,0.6929123878479004,144,1.4620299339294434,0.8495126480161714,-1.928831710114508,1.8839773887219405e-07,0.9999220580806886,True
gaussian,1,0.00364742855052,0.002659651670556,0.9997295606888124,0.0162975220677528,0.0003698491247954,0.0002481141993455,7.275395509152047e-05,0.0021977455809605,16,16.0,0.0,14.551030150219995,2.677463912963867,0.7757993698120117,208,1.852792501449585,0.9621576949561672,0.2635012741262535,1.6597337761982524e-07,0.0223351359823541,True
gaussian,0,0.0120412798469996,0.0084402632495085,0.9970617679090772,0.0537035189517498,0.0014721710216297,0.0006550358563591,0.0008393859235224,0.0073596292788396,24,24.0,0.0,20.877977840178826,3.038544607162476,0.6812409400939942,216,2.483768939971924,0.8750709496356416,-1.4314080844544643,5.918006707448414e-07,0.9999963520041784,True
gaussian,1,0.0032961570922595,0.0024010278527379,0.9997825238873002,0.014695907350344,0.0002060272050556,0.0001198878597138,3.510283686462756e-05,0.0012273629657931,24,24.0,0.0,21.439860779209152,3.064961624145508,0.7825144767761231,312,2.94787859916687,0.9658021588552034,0.3344309655132865,1.9802492809788242e-07,0.0109795261418014,True
gaussian,0,0.0116565289482534,0.0084562741396009,0.9972883457923274,0.0517892027567785,0.0013723743697332,0.0010732481664232,0.0005885811926271,0.0054343983558412,32,32.0,0.0,27.30834194814637,3.306775665283203,0.6916830182075501,288,3.4345462322235107,0.879062764876044,-1.35371813308722,2.661130053025214e-07,0.9998850436446224,True
gaussian,1,0.0030953323857626,0.0021999553735142,0.9998063730819232,0.0137894087414693,0.0004102149170284,0.0001946962103083,5.010818324969504e-05,0.0018652411740494,32,32.0,0.0,27.887256787650905,3.3277090549468995,0.7772769570350647,416,3.874338626861572,0.967885728059736,0.3749820382513399,2.503576877983197e-07,0.0078757801617821,True
gaussian,0,0.0108364214758791,0.0078062029486855,0.9976636483126856,0.0482707119175861,0.0003866529401617,0.0001380860865563,0.0002405120800724,0.0025079988604375,48,48.0,0.0,38.2924884910949,3.644462442398072,0.692231547832489,432,5.373619318008423,0.8875714324780147,-1.1881197943899329,3.373699451040027e-07,0.9999403569656348,True
gaussian,1,0.004151053384012,0.0027886280996714,0.99963009940148,0.0185970456249405,0.0009927192440101,0.0004397630950321,0.000197690511929,0.0049041301516136,48,48.0,0.0,41.21402338274108,3.718425893783569,0.8208083748817444,624,4.195712566375732,0.956932555021915,0.1618079734768552,2.430396927483948e-07,0.0165220704539812,True
gaussian,0,0.0131454971219339,0.0087375737811734,0.9965273755637074,0.0583809845240969,0.0020080954084922,0.0013790265535752,0.0009167804228977,0.0080177978453992,64,64.0,0.0,52.05110545631389,3.951943349838257,0.7029424548149109,576,6.914286375045776,0.8636146246181781,-1.6543746497517993,5.8859978825733244e-08,0.9993582992969314,True
